id,Wellbeing score,BuildingHeights,Integration,Flow,PTAL,Casualty,Fuel,Supermarket,Choice
33736,0.161337355,0.107607183,0.009506975,193,0.26827,0.097,2.21279,0,1966
33737,0.161236802,0.035090964,0.032066584,241,0.35398,0.113,2.80558,0,10445
33738,0.161588738,0.035090964,0.03963494,264,0.40051,0.115,3.005,0,332444
33739,0.161840121,0.033901096,0.052436606,157,0.1947,0.068,2.17076,0,324459
33740,0.16199095,0.034594033,0.042781991,143,0.16694,0.064,2.05439,0,12019
33741,0.161840121,0.034961481,0.028358019,141,0.16446,0.061,2.04797,0,10949
33742,0.161840121,0.033813613,0.061155888,141,0.16446,0.061,2.04797,0,38033
33743,0.161840121,0,0.059544428,141,0.16446,0.061,2.04797,0,16692
33744,0.152187029,0,0.030347623,141,0.15158,0.056,1.87586,0,6119
33745,0.082001006,0,0.010320745,141,0.08295,0.034,0.95824,0,159
33746,0.038059326,0,0,141,0.04129,0.02,0.40196,0,0
33747,0.075314228,0,0,125,0.02705,0.013,0.34961,0,0
33748,0.098039216,0,0,115,0.01828,0.008,0.31814,0,0
33749,0.098039216,0,0,115,0.01828,0.008,0.31814,0,0
33750,0.098039216,0,0,115,0.01828,0.008,0.31814,0,0
33751,0.301256913,0.046870791,0,275,0.50814,0.31,3.18974,0,0
33752,0.301256913,0.045120967,0.033292041,88,0.31126,0.14,2.76257,0,19581
33753,0.301256913,0.034786505,0.020833731,198,0.42714,0.24,3.01367,0,1085
33754,0.301256913,0.052897183,0.092909035,346,0.73634,0.734,3.93839,0,268090
33755,0.301256913,0.129987437,0.044001044,796,0.92645,0.67,5.57825,0,115146
33756,0.301256913,0,0,974,0.87258,0.393,5.1386,0,0
33757,0.301256913,0.033358648,0.017955749,1060,0.85226,0.275,4.67307,0,28036
33758,0.301256913,0.036203862,0.035928849,1747,1.35203,0.269,11.14025,0,32245
33759,0.301256913,0.072652704,0.018573062,1813,1.39566,0.259,11.98968,0,57715
33760,0.301256913,0.038667616,0.049925763,1024,0.75889,0.147,7.09842,0,8773
33761,0.301256913,0.035825904,0.042861474,1019,0.75471,0.146,7.06624,0,3756
33762,0.315736551,0.034594026,0.01446169,982,0.76458,0.179,6.92478,0,3770
33763,0.442835596,0.037582723,0.065517241,637,0.85515,0.488,5.61718,0,68104
33764,0.444846657,0.037582723,0.050011319,628,0.85847,0.494,5.59656,0,59118
33765,0.444444444,0.052088765,0.01592321,455,0.98524,0.452,6.34852,0,17643
33766,0.444444444,0.066542317,0.071061472,52,1.2795,0.353,8.1011,0,161716
33767,0.445248869,0.058370641,0.124853661,47,1.2938,0.348,8.18302,0,523944
33768,0.463348416,0.045386941,0.060613853,1075,1.39824,0.225,8.48896,0,225212
33769,0.438411262,0.086371327,0.128483431,1479,1.15695,0.173,7.29048,0,30859
33770,0.438411262,0.033841598,0.057606027,1693,1.35158,0.199,7.65141,0,27745
33771,0.433584716,0.03821966,0.059692884,1716,1.38039,0.201,8.26726,0,39192
33772,0.437204625,0.038457639,0.147169697,1699,1.35898,0.199,7.81031,0,84862
33773,0.438411262,0.044004582,0.100401859,1667,1.32752,0.196,7.62125,0,94987
33774,0.438411262,0.045596922,0.068935956,1485,1.16205,0.174,7.30051,0,50010
